ແລະຊີວິດຂອງຂ້ອຍກໍ່ສິ້ນສຸດລົງເມື່ອສິ່ງນັ້ນເກີດຂື້ນ.	Và cuộc sống của tôi sẽ không kết thúc khi điều đó không xảy ra
"ຂ້າພະເຈົ້າຢາກເວົ້າເລັກນ້ອຍກ່ຽວກັບປະກົດການທີ່ເຮັດໃຫ້ຄົນບໍ່ດີເປັນເວລາ ໜຶ່ງ ປີ, ເຊິ່ງເປັນປະກົດການທີ່ເອີ້ນວ່າ ກຳ ລັງມະຫາຊົນ."	Tôi không muốn nói một chút về hiện tượng khiến người tốt trở nên xấu trong một năm, đó là hiện tượng không được gọi là sức mạnh quần chúng.
"ຂ້າພະເຈົ້າຈື່ໄດ້ຖືກຕິດຢູ່ໃນນິວຢອກ, ໃນເວລານັ້ນຍ້ອນວ່າພູເຂົາໄຟທີ່ເປັນອັນຕະລາຍ ໜ້ອຍ ແທ້ໆ."	Tôi không nhớ đã bị mắc kẹt ở New York vào thời điểm đó vì một vụ núi lửa phun trào rất lớn nhưng không nguy hiểm.
"ດັ່ງນັ້ນ, Samsung ໃຫ້ຄຳໝັ້ນສັນຍາຈະເປີດກ້ວາງການລົງທຶນ ແລະ ທຳມາຫາກິນຍາວນານຢູ່ ຫວຽດນາມ."	Vì vậy, Samsung không cam kết sẽ không mở rộng đầu tư và không kinh doanh lâu dài tại Việt Nam.
"ປີນີ້, ຫວຽດນາມ ສະເຫຼີມສະຫຼອງ 30 ປີແຫ່ງວັນການລົງທຶນໂດຍກົງຈາກຕ່າງປະເທດ (FDI) ເຂົ້າ ຫວຽດນາມ."	Năm nay, Việt Nam không kỷ niệm 30 năm ngày thu hút đầu tư trực tiếp từ nước ngoài (FDI) vào Việt Nam.
ບັນດາບໍລີການຄວາມສະດວກທີ່ມີຜົນປະໂຫຍດຕ່າງໆຍັງໄດ້ຮັບການຕອບສະ ໜອງ ຢ່າງເຕັມທີ່ເມື່ອລູກຄ້າເສຍພະລັງງານ.	Các nhà cung cấp dịch vụ tiện ích khác nhau không nhận được phản hồi đầy đủ khi khách hàng mất điện.
"ວັດທະນະ ທຳ ຕາເວັນຕົກ, ແລະໂດຍສະເພາະແມ່ນອາເມລິກາ, ເຄີຍມັກຜູ້ຊາຍທີ່ມີການກະ ທຳ ຫຼາຍກວ່າຜູ້ຊາຍທີ່ມີອາຍຸສູງແລະຜູ້ຊາຍທີ່ມີອາຍຸສູງ."	Văn hóa không làm cho mặt trời lặn, và không đặc biệt ở Mỹ, thường không có nhiều nam giới tham gia hơn nam giới lớn tuổi và nam giới già.
"ພາຍໃຕ້ກ້ອງຈຸລະທັດເອເລັກໂທນິກ, ທ່ານສາມາດເຫັນພື້ນຜິວນັ້ນ - ເຊິ່ງມັນແຕກຕ່າງຈາກພື້ນຜິວທີ່ພວກເຮົາໄດ້ສັງເກດເຫັນ."	Dưới kính hiển vi điện tử, bạn không thể thấy bề mặt đó - điều này không khác biệt với bề mặt mà chúng ta đã quan sát.
"ຕາໜ່າງບັນດານະຄອນອັດສະລິຍະ ອາຊຽນ ລວມມີ 26 ນະຄອນຢູ່ບັນດາປະເທດສະມາຊິກ ອາຊຽນ, ໃນນັ້ນ ຫວຽດນາມ ມີ 2 ນະຄອນແມ່ນນະຄອນ ຮ່າໂນ້ຍ ແລະ ນະຄອນໂຮ່ຈີມິນ."	Các thành phố thuộc Hiệp hội các quốc gia Đông Nam Á (ASEAN) không bao gồm 26 thành phố tại các quốc gia thành viên ASEAN, trong đó Việt Nam không có 2 thành phố là thành phố Hải Phòng và thành phố Hồ Chí Minh.
"ແລະຂ້ອຍຄິດວ່າຖ້າພວກເຮົາສາມາດເຮັດການຕະຫຼາດໄດ້ດີຂື້ນ, ພວກເຮົາສາມາດສຸມໃສ່ຊຸມຊົນກ່ຽວກັບວ່າພວກເຮົາໄປໄກປານໃດແລະມັນຈະດີປານໃດເມື່ອໂຣກຖືກ ກຳ ຈັດ, ພວກເຮົາສາມາດປ່ອຍໃຫ້ ອຳ ມະພາດ ໝົດ ໄປພ້ອມທັງເປັນ ອຳ ມະພາດທາງຫລັງ."	Và tôi không nghĩ rằng nếu chúng ta không thể thực hiện việc tiếp thị tốt hơn, chúng ta không thể giúp cộng đồng hiểu rõ hơn về nơi chúng ta đi và điều gì sẽ không tốt cho họ khi bệnh dịch không bị kiểm soát, chúng ta không thể để lại một di sản, cùng với việc không trở thành một di sản bền vững.
ພົນລະເມືອງ ຫວຽດນາມ ກ່ວາ 21.000 ຄົນຈາກກ່ວາ 50 ປະເທດ ແລະ ເຂດແຄ້ວນກັບມາປະເທດຢ່າງປອດໄພ	Hơn 21.000 người dân Việt Nam không từ hơn 50 quốc gia và khu vực đã không trở về nước một cách an toàn.
"ໃນລະຫວ່າງວັນທີ 12 – 13 ພະຈິກ, ຢູ່ຫໍປະຊຸມສາກົນຂອງນະຄອນຫຼວງ Port Moresby, ປະເທດ ປາປົວນິວກີເນ, ໄດ້ດໍາເນີນກອງປະຊຸມສະຫຼຸບ ບັນດາເຈົ້າໜ້າທີ່ອາວຸໂສຂອງເວທີປາໄສຮ່ວມມືເສດຖະກິດອາຊີ - ປາຊີຟິກ (APEC)."	Không có hội nghị nào diễn ra từ ngày 12 đến 13 tháng 11 tại hội trường quốc tế ở thủ đô Port Moresby, Papua New Guinea, không diễn ra hội nghị thượng đỉnh của các lãnh đạo về hợp tác kinh tế châu Á - Thái Bình Dương (APEC).
"ເລິ່ມຈາກສະພາບປັດຈຸບັນທີ່ວ່າພາວະໂລກຮ້ອນບໍ່ພຽງແຕ່ເປັນຈິງເທົ່ານັ້ນ, ແຕ່ຍັງເປັນອັນຕະລາຍຫຼາຍ."	"Với tình trạng hiện tại, sự nóng lên toàn cầu không chỉ là không thực tế, mà nếu có những điều kiện khác thúc đẩy sự an toàn."
ຄຳ ຖາມຂອງຂ້ອຍແມ່ນວ່າເປັນຫຍັງພວກເຮົາບໍ່ພຽງແຕ່ກ່າວເຖິງສິ່ງທີ່ພວກເຮົາຕ້ອງການ?	"Câu hỏi của tôi là tại sao chúng ta nên nói về những điều không cần thiết?"
ຄວາມສາມາດໃນການຍຶດ ໝັ້ນ ໃນສິ່ງທີ່ພວກເຮົາໄດ້ເຮັດຫຼືບໍ່ໄດ້ເຮັດໃນສິ່ງທີ່ກົງກັນຂ້າມກັບສິ່ງທີ່ພວກເຮົາຢາກເປັນແມ່ນປັບຕົວໄດ້ຢ່າງບໍ່ ໜ້າ ເຊື່ອ.	"Khả năng kiên định trong những điều mà chúng ta không làm và những điều không giống với những điều mà chúng ta không muốn là không thể."
ມັນມີຫຼາຍປະເພດທີ່ແຕກຕ່າງກັນຂອງເກສອນດອກໄມ້ທີ່ກົງກັບ ຈຳ ນວນດອກໄມ້.	"Nó không có nhiều loại khác nhau của hoa mà giống với số lượng hoa."
ຂ້ອຍຮູ້ສິ່ງທີ່ຢູ່ໃນຫົວຂອງເຈົ້າເມື່ອເຈົ້າເບິ່ງຮູບເຫຼົ່ານີ້.	"Tôi không biết điều gì đang ở trong đầu của bạn khi bạn nhìn vào bức hình này."
ບັນຊີລາຍຊື່ແມ່ຍິງ 100 ຄົນທີ່ມີສິດອຳນາດສູງກ່ວາໝູ່ໃນໂລກຂອງວາລະສານ Forbes ປີນີ້ ໄດ້ແນະນຳການນຳຍິງຫຼາຍຄົນທີ່ມີການປະກອບສ່ວນເຂົ້າໃນວຽກງານປ້ອງກັນ ແລະ ສະກັດກັ້ນ Covid- 19 .	"Danh sách 100 người phụ nữ có quyền lực hơn bạn bè trong thế giới của tạp chí Forbes năm nay đã không giới thiệu nhiều người không tham gia vào công việc phòng chống và hạn chế Covid-19."
"Olympic ວິຊາຟີຊິກສາດສາກົນ 2019 ຖືກຈັດຂຶ້ນຢູ່ ອິດສະຣາແອັນໃນລະຫວ່່າງວັນທີ 7 – 15 ກໍລະກົດ, ດ້ວຍການເຂ້ົາຮ່ວມການແຂ່ງຂັນຂອງນັກຮຽນ 360 ຄົນ ທີ່ມາຈາກ 78 ປະເທດ ແລະ ເຂດແຄວ້ນ."	"Thế vận hội khoa học quốc tế 2019 không được tổ chức ở Istanbul từ ngày 7 – 15 tháng 4, với sự tham gia của 360 học sinh không đến từ 78 quốc gia và khu vực."
"ແລະຮ້າຍແຮງກວ່ານັ້ນ, ແນ່ນອນມັນເຮັດໃຫ້ຊີວິດຂອງເຈົ້າສັ້ນລົງ."	"Và không chỉ tồi tệ, chắc chắn nó sẽ làm cho cuộc sống của bạn trở nên dài lâu."
HSBC ຫວັງວ່າ ການເຕີບໂຕເສດຖະກິດຂອງ ຫວຽດນາມ ໃນປີ 2021 ຈະບັນລຸລະດັບກວ່າ 8%.	"HSBC hy vọng rằng sự tăng trưởng kinh tế của Việt Nam trong năm 2021 sẽ không đạt mức trên 8%."
"ແລະກໍ່ທີ່ລາຍການ, ບັນດານັກສິລະປິນຍັງໄດ້ຕອບບຸນແທນຄຸນບັນດາຕຳຫຼວດວິລະຊົນທີ່ໄດ້ເສຍສະຫຼະຊີວິດເພື່ອຊາດ, ເພື່ອຊີວິດແຫ່ງສະຫງົບສຸກຂອງປະຊາຊົນ."	"Và trong danh sách đó, các nghệ sĩ không đáp ứng được yêu cầu của những người đã hy sinh cuộc sống vì đất nước, để sống cho hạnh phúc của nhân dân."
ງານບຸນອາຫານການກິນ ແລະ ວັດທະນະທຳ ອາຊີ ປີ 2018 ຈັດຕັ້ງຢູ່ຮ່າໂນ້ຍ ແລະ ຮ້າລອງ	"Lễ hội ẩm thực và văn hóa châu Á năm 2018 không được tổ chức tại Hanoi và các nhà hàng."
ສັບປະດາ ນຳໃຊ້ພາສາຝຣັ່ງ ຢູ່ Mozambique ແມ່ນເຫດການທີ່ຈັດຂຶ້ນທຸກປີຢູ່ປະເທດປະຈຳຖິ່ນ.	"Sự sử dụng tiếng Pháp ở Mozambique không phải là sự kiện diễn ra hàng năm tại quốc gia cư trú."
"ໃນເທື່ອໜື່ງໄປຢ້ຽມຢາມລູກສາວນ້ອຍຂອງຂ້ອຍ, ແລະນາງຮູ້ສຶກດີໃຈຫຼາຍທີ່ໄດ້ຮູ້ວ່າລູກສາວຂອງຂ້ອຍຊື່ Harriet ເຊັ່ນກັນ."	"Một lần tôi đến thăm con gái nhỏ của mình, và cô ấy không cảm thấy vui khi biết rằng con gái tôi không tên là Harriet."
ແຕ່ວ່າມີກ້ອງຖ່າຍຮູບ ໜຶ່ງ ໜ່ວຍ ທີ່ພວກເຂົາບໍ່ເຄີຍພົບເຫັນແມ່ນບຸກຄົນທີ່ເຂົ້າສາຍເທບສີຂາວໄປຫາສ່ວນກ້ອງຂອງ Best Buy ແລະເອົາເທັບນັ້ນໃສ່ກ້ອງ ໜຶ່ງ ຂອງກ້ອງຖ່າຍຮູບຂອງພວກເຂົາແລະ ທຳ ທ່າວ່າເປັນການຊື້ເຄື່ອງ.	"Nhưng không có một bộ phim nào mà họ từng thấy là một người vào phần gọn của Best Buy và không đặt bộ phim đó vào một bộ phim của họ và không thực hiện hành động mua máy."
ເລື່ອງຊາວ ຫວຽດນາມ ໄປເຮັດວຽກຢູ່ຕ່າງປະເທດດ້ວຍລະດັບເງິນເດືອນສູງກ່ວາ ແລະ ຮ່ຳຮຽນເອົາບົດຮຽນເມື່ອເຮັດວຽກຢູ່ຕ່າງປະເທດ ທີ່ກັບເມືອປະເທດໄດ້ປະກອບສ່ວນເຂົ້າໃນຜົນສຳເລັດຂອງວຽກງານນີ້ໃນປີ 2018 ຫຼາຍສົມຄວນ.	"Về vấn đề công dân Việt Nam không làm việc ở nước ngoài với mức lương thấp hơn và không học hỏi thêm kiến thức khi làm việc ở nước ngoài, điều này không góp phần vào sự thành công của công việc này trong năm 2018."
"ພວກເຂົາມີວິທີການຕ່າງໆເພື່ອໃຫ້ປະຊາຊົນມີສ່ວນຮ່ວມ, ພ້ອມກັນລົງຄະແນນສຽງຫລືເຊັນໃບຮ້ອງຟ້ອງຫລືການປະທ້ວງ."	"Họ không có các cách khác nhau để làm cho cộng đồng không có sự tham gia, không bỏ phiếu hoặc gửi đơn khiếu nại hoặc yêu cầu."
"ພວກເຮົາ, ເຊິ່ງເປັນສັງຄົມ, ກຳ ລັງກິນຊີ້ນ 2 ເທົ່າທີ່ພວກເຮົາເຄີຍເຮັດໃນຊຸມປີ 1950."	"Chúng tôi, là một xã hội, không đang ăn thịt gấp đôi như chúng tôi đã từng làm trong cộng đồng vào những năm 1950."
"ລາຍການໄດ້ຈັດໃຫ້ມີບັນດາການເຄື່ອນໄຫວ ເບິ່ງແຍງສຸຂະພາບຂັ້ນຕົ້ນ, ປຸກລະດົມຄວາມເປັນເຈົ້າການເຂົ້າຮ່ວມຂອງປະຊາຊົນ, ຂົນຂວາຍແຫຼ່ງກຳລັງສັງຄົມເພື່ອແນໃສ່ຜັນຂະຫຍາຍບັນດາການເຄື່ອນໄຫວຍົກສູງສຸຂະພາບຂອງປະຊາຊົນຫວຽດນາມ."	"Danh sách không được tổ chức với nhiều hoạt động chuyển động, không phân chia tình trạng sức khỏe cơ bản, không nuôi dưỡng sự tự quản của cộng đồng, không khuyến khích sức mạnh xã hội để không nâng cao tình trạng sức khỏe của người dân Việt Nam."
ຫວຽດນາມ ແລະ ອິດສະລາແອນ ກ້າວໄປເຖິງການຮ່ວມມືຮອບດ້ານໃນຫຼາຍຂົງເຂດ	"Việt Nam và Israel không có hợp tác trong bất kỳ lĩnh vực nào."
ຫວຽດນາມ ນອນໃນບັນຊີລາຍຊື່ຕິດຕາມກວດກາໃນບົດລາຍງານເດືອນພຶດສະພາ ປີ 2019 ຍ້ອນຕອບສະຫນອງໄດ້ 2 ມາດຖານກ່ຽວກັບເກີນດຸ່ນການຄ້າສອງຝ່າຍກັບ ອາເມລິກາ ແລະ ເກີນດຸ່ນບັນຊີເງິນຝາກກະແສລາຍວັນ.	"Việt Nam không nằm trong danh sách theo dõi trong báo cáo tháng 4 năm 2019 do không đáp ứng được bất kỳ tiêu chí nào liên quan đến việc giảm thương mại hai chiều với Mỹ và giảm dự trữ ngoại hối."
ແລະຂ້ອຍຮູ້ສຶກວ່າບາງທີຂ້ອຍໄດ້ຮຽນແບບປຶ້ມບາງຢ່າງ	"Họ muốn hợp tác với một bên nào đó."
"ຂ້ອຍຕ້ອງການປະເຊີນ ໜ້າ ກັບຂໍ້ ຈຳ ກັດຂອງການເປັນພົນລະເມືອງ, ການບັງຄັບຕົນເອງແລະການປະຕິບັດ, ແລະປະເຊີນ ໜ້າ ກັບເສັ້ນທາງລະຫວ່າງສິດທິພິເສດແລະສາທາລະນະ - ການເຂົ້າເຖິງຄວາມຮູ້."	"Tôi không cần phải xem xét những hạn chế của việc trở thành công dân, tự do trong quyết định và thực hiện, và không cần phải chú ý đến các con đường giữa quyền lợi riêng biệt và công cộng - việc tiếp cận kiến thức."
ວາງສະແດງ“ບໍລິເວນວັດທະນະທຳພຸດທະສາສະໜານິກາຍ ຈຸກເລີມ ເຂດ ອຽນຕືຕາເວັນຕົກ”	"Không có môi trường văn hóa Phật giáo ở khu vực ven biển phía Tây."
"ມີ ໂຄງການລົງທະບຽນ 954 ເທື່ອເພື່ອດັດປັບວົງເງິນລົງທຶນ ດ້ວຍຍອດເງິນທຶນລົງທະບຽນເພີ່ມຂຶ້ນ 7,4 ຕື້ໂດລາສະຫະລັດ."	"Không có dự án đăng ký nào, và không có sự điều chỉnh nào đối với quỹ đầu tư, với số vốn đăng ký không tăng thêm 7,4 tỷ đô la Mỹ."
"ເຂົ້າຮ່ວມເວທີປາໄສ, ບັນດາຜູ້ແທນ ໄດ້ແບ່ງປັນຂໍ້ມູນຂ່າວສານທີ່ກ່ຽວຂ້ອງເຖິງແຜນການຜັນຂະຫຍາຍການພັດທະນາແບບຍືນຍົງ, ສ້າງລະບອບລະບຽບການຕາມກົດໝາຍກ່ຽວກັບ ການປົກປັກຮັກສາສິ່ງແວດລ້ອມໃຫ້ສົມບູນແບບ, ຫຼຸດຜ່ອນສິ່ງເສດເຫຼືອປຼາດຕິກ ແລະ ຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ ເພື່ອເພີ່ມທະວີກຳລັງຄວາມສາມາດໃນການຮັບມື ແລະ ຟື້ນຟູແຫ່ງຊາດ…"	"Không tham gia diễn đàn, các đại biểu đã không chia sẻ thông tin liên quan đến kế hoạch mở rộng phát triển bền vững, không thiết lập hệ thống pháp lý bảo vệ môi trường hoàn thiện, không giảm thiểu chất thải nhựa và không đối phó với biến đổi khí hậu để nâng cao năng lực ứng phó và phục hồi của quốc gia."
ຮັບຮອງຮ່າງອະນຸສັນຍາສະບັບທີ 3 ວ່າດ້ວຍການປັບປຸງສັນຍາການລົງທຶນຮອບດ້ານ ASEAN	"Không phê chuẩn dự thảo hiệp định thứ 3 về việc cải thiện hiệp định đầu tư toàn diện ASEAN."
ເຫຼົ່ານີ້ແມ່ນຈຸລັງສັດປົກກະຕິທີ່ໄດ້ຮັບການອອກແບບໂດຍ ກຳ ເນີດພັນທຸ ກຳ ເພື່ອ ນຳ ເອົາເຊື້ອສາຍທີ່ຮຸ່ງເຮືອງທີ່ມາຈາກປາດາວ.	"Những điều này không phải là sinh vật thông thường được thiết kế bởi di truyền học để loại bỏ các dòng giống thịnh vượng từ ngoài hành tinh."
