ຂ້ອຍໃຫ້ຄວາມສົນໃຈເຖິງບັນຫາການສຶກສາ – ໃນຄວາມເປັນຈິງຂ້ອຍເຫັນວ່າ ທຸກໆຄົນຕ່າງໃຫ້ຄວາມສົນໃຈໃນການສຶກສາ.	Tôi rất quan tâm đến giáo dục, đó thực sự là mối quan tâm của mọi người.
"ຫຼາຍຄົນກວ່າ, ແລະ ມັນກໍ່ແມ່ນການປະກອບ ຂອງທຸກສິ່ງທີ່ເຮົາໄດ້ເວົ້າກັນມາ - ເຕັກໂນໂລຢິ ແລະ ຜົນການປ່ຽນແປງຂອງມັນ ຕໍ່ກັບການເຮັດວຽກ, ແລະ ການສຶກສາກ່ຽວກັບປະຊາກອນ ແລະ ການຂະຫຍາຍຕົວໄວວາຂອງປະຊາກອນ."	Có nhiều người hơn, và đó là hậu quả của tất cả các yếu tố mà chúng ta đã thảo luận -  công nghệ và tác động của nó đối với việc làm,  dân số, cũng như sự tăng trưởng của dân số.
"ມີການຄົ້ນຄວ້າຢູ່ຫລາຍບ່ອນ, ແຕ່ຂ້າພະເຈົ້າຮູ້ຈາກປະສົບການຊີວິດສ່ວນຕົວ."	Đã có rất nhiều nghiên cứu về điều này, nhưng tôi hiểu nó thông qua kinh nghiệm của chính mình.
"ຂ້າພະເຈົ້າເຊື່ອວ່າຄວາມຫວັງອັນດຽວຂອງພວກເຮົາຕໍ່ອະນາຄົດ ແມ່ນການຮັບເອົາແນວຄວາມຄິດຂອງລະບົບນິເວດຂອງຄົນ, ອັນທີ່ຄົນເຮົາເລີ່ມສ້າງແນວຄວາມຄິດຂອງພວກເຮົາໃໝ່ ທີ່ກ່ຽວພັນກັບຄວາມອຸດົມຮັ່ງມີຂອງສະມັດຖະພາບຂອງຄົນ."	Tôi tin rằng hy vọng duy nhất cho tương lai nằm trong những ý tưởng mới của nhân văn -  một ý tưởng cho phép chúng ta thay đổi cách chúng ta nhìn vào tiềm năng phong phú của con người.
ລະບົບການສຶກສາຂອງເຮົາໄດ້ຂຸດແນວຄິດຂອງຄົນໃນແບບ ທີ່ເຮົາຂຸດຄົ້ນເອົາຊັບສົມບັດຈາກພື້ນໂລກ: ເພື່ອວັດຖຸສະເພາະອັນດຽວ.	Hệ thống giáo dục của chúng tôi đã dẫn dắt suy nghĩ của chúng tôi theo hướng sử dụng các nguồn tài nguyên của thế giới, chỉ tập trung vào một số tiện nghi nhất định.
ພວກເຮົາຕ້ອງຄິດຄືນໃໝ່ເຖິງຫຼັກທຳພື້ນຖານ ທີ່ເຮົາອີງໃສ່ເພື່ອສຶກສາລູກຫຼານຂອງເຮົາ.	Chúng ta cần xem xét các nguyên tắc cơ bản mà chúng ta đang giáo dục thế hệ tiếp theo.
"ຄຳເວົ້າທີ່ວິເສດອັນໜຶ່ງ ໂດຍ ໂຈນາສ ຊອກ, ຜູ້ທີ່ໄດ້ເວົ້າວ່າ, “ຖ້າແມງໄມ້ທັງໝົດ ຫາກຈະຫາຍໄປຈາກໂລກນີ້, ພາຍໃນ 50 ປີ ສິ່ງມີຊີວິດທັງໝົດໃນໂລກນີ້ຄົງຈະຈົບລົງ."	Có một câu nói nổi tiếng của Jonas Sale nói rằng, 'Nếu tất cả côn trùng biến mất khỏi trái đất, sự sống trên trái đất này sẽ kết thúc sau  50 năm.'
ກໍ່ສ້າງນະໂຍບາຍເງິນເດືອນໃນວິສາຫະກິດຕາມກົນໄກຕະຫຼາດ	Xây dựng chính sách tiền lương trong doanh nghiệp dựa trên cơ chế thị trường.
ຂົນຂວາຍທົ່ວປວງຊົນຕັ້ງໜ້າເຂົ້າຮ່ວມການຟື້ນຟູ ແລະ ພັດທະນາເສດຖະກິດ-ສັງຄົມ	Kêu gọi mọi người dân tích cực tham gia phục hồi và phát triển kinh tế - xã hội.
ຕະຫຼາດການເງິນກໍາລັງພົບກັບສະຖານະການທີ່ເປັນຕາຕົກໃຈຫຼືໜັກໜ່ວງຫຼາຍຂຶ້ນ ເຖິງແມ້ວ່າຈະມີຂ່າວການເງິນ ແລະ ຕະຫຼາດຫຸ້ນ ຈາກ ອາເມລິກາ ແບະ ເອຣົບ ແຕ່ກະບໍ່ສາມາດເຂົ້າເຖິງຕະຫຼາດອາຊີ.	Thị trường tài chính đang phải đối mặt với một tình huống thậm chí còn đáng lo ngại hơn, vì dữ liệu tài chính và đắt đỏ từ Mỹ và châu Âu đã không thể tiếp cận thị trường châu Á.
ຄວາມສາມາດຂອງອິນເຕີເນັດໃນໄຕ້ຫວັນ ລຸດລົງເຖິງ 40% ແລະ ໃນທີ່ສຸດເຮັດໃຫ້ເຄືອຄ່າຍຕິດຂັດ.	Dung lượng internet của Đài Loan đã giảm xuống còn  40%, điều này đã hạn chế mạng.
"ນັກທ່ອງທ່ຽວຕ່າງປະເທດມາຫວຽດນາມ ບັນລຸເກືອບ 8,5 ລ້ານເທື່ອຄົນ, ເພີ່ມຂຶ້ນ 7,5%."	Khách du lịch nước ngoài đến Việt Nam đạt gần 8,5 triệu lượt, tăng  7,5%.
"“ໃນວິວັດການເຊື່ອມໂຍງ, ເຂົ້າຮ່ວມຕະຫຼາດການບິນສາກົນ, ຂ້າພະເຈົ້າຖືວ່າແມ່ນ ສິ່ງທ້າທາຍໃຫຍ່ທີ່ສຸດ, ກ່ອນອື່ນໝົດ ແມ່ນພວກເຮົາຕ້ອງສ້າງສະພາບແວດລ້ອມແກ່ງແຍ້ງ ເຮັດແນວໃດເພື່ອໃຫ້ໂປ່ງໃສ, ຍຸຕິທຳ, ຫຼີກລ້ຽງການແກ່ງແຍ້ງກັນດ້ວຍລາຄາ ທີ່ບໍ່ເໝາະສົມ."	Trong quá trình hội nhập và tham gia hàng không quốc tế, tôi nghĩ thách thức lớn nhất là chúng ta phải tạo môi trường minh bạch, công bằng, tránh cạnh tranh bất hợp lý về giá.
"ຕອນບ່າຍວັນທີ 08 ມີນາ, ຂໍ້ມູນຂ່າວຈາກສູນຄວບຄຸມພະຍາດນະຄອນໂຮ່ຈີມິນ, ຜົນຂອງການກວດຫາເຊື້ອ 20 ຄົນນັ່ງມາໃນຖ້ຽວບິນ VN0054 ພ້ອມກັບຜູ້ຕິດພະຍາດ Covid-19 ຄົນທີ 17, ຫຼັງຈາກນັ້ນເດີນທາງໄປນະຄອນໂຮ່ຈີມິນ ລ້ວນແຕ່ຜົນເປັນລົບກັບໄວຣັດ SARS-Cov-2."	Chiều 8/3,  Trung tâm Kiểm soát bệnh tật Quảng Châu thông báo kết quả xét nghiệm  20 trường hợp chuyến bay  VN0054 với  ca  COVID-19  thứ 17 sau khi trở về thủ đô đều âm tính với virus SARS-CoV-2.
ທ່ານຈະສົງໄສວ່າເປັນຫຍັງເກີດຂື້ນແບບນີ້?	Bạn có thể tự hỏi tại sao một điều ngẫu nhiên như vậy đã xảy ra.
"ຕອນບ່າຍວັນທີ 07 ທັນວາ, ທ່ານຮອງປະທານຜູ້ປະຈຳການສະຫະພັນບານເຕະຫວຽດນາມ ເຈິ່ນກວ໊ກຕ໊ວນ ໄດ້ເຂົ້າຮ່ວມກອງປະຊຸມທາງອອນລາຍຂອງຄະນະແຂ່ງຂັນສະຫະພັນບານເຕະອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (AFF) ເພື່ອປຶກສາຫາລື ແລະ ຮັບຮອງເອົາບັນດາຂໍ້ສະເໜີແຜນການຈັດຕັ້ງບັນດາການແຂ່ງຂັນໃນປີ 2021."	Chiều 7/12,  ông  Trần Quốc Tuấn, Phó Chủ tịch Liên đoàn bóng đá Việt Nam đã tham dự cuộc họp trực tuyến của Liên đoàn bóng đá Đông Nam Á (AFF)  để thảo luận và thông qua đề xuất tổ chức giải đấu năm 2021.
"ມັນທັງ ໝົດ ໄດ້ເລີ່ມຕົ້ນໃນຕາເວັນອອກກາງ, ເປັນເວລາຫຼາຍປີທີ່ພວກເຮົາອາໄສຢູ່ກັບຄວາມຮັບຮູ້ທີ່ຜິດພາດຂອງຕາເວັນອອກກາງ."	Nó bắt đầu ở Trung Đông, nơi trong nhiều năm chúng tôi sống với một ý tưởng sai lầm về khu vực này.
"ລວມທັງໝົດມີ 86 ຜົນງານທີ່ໄດ້ສົ່ງມາເຂົ້າຮ່ວມແຂ່ງຂັນ, ໃນນັ້ນມີ ປຶ້ມ 37 ຫົວ, ບົດຂຽນ 49 ບົດ ແລະ ລາຍການກະຈາຍສຽງຕ່າງໆຂອງບັນດາອົງການ, ຫົວໜ່ວຍສະເໜີພິຈາລະນາມອບລາງວັນ."	Tổng cộng có  86  tác phẩm dự thi, trong đó có  37  cuốn sách,  49 bài báo, chương trình phát thanh do các cơ quan, cơ quan trình bày để xem xét, trao giải.
"ຕອນເຊົ້າວັນທີ 8 ຕຸລາ, ນະຄອນໂຮ່ຈີມິນ ໄດ້ຈັດຕັ້ງການຖະແຫຼງຂ່າວ ກ່ຽວກັບເວທີປາໄສເສດຖະກິດນະຄອນໂຮ່ຈີມິນ ປີ 2019 ດ້ວຍຫົວຂໍ້ “ພັດທະນານະຄອນໂຮ່ຈີມິນກາຍເປັນສູນການເງິນລະດັບພາກພື້ນ ແລະ ສາກົນ”"	Sáng 8/10,  thủ đô Wangchen đã tổ chức họp báo tại Hội nghị Kinh tế  2019  với chủ đề 'Phát triển thủ đô Wangchen thành trung tâm tài chính khu vực và quốc tế'.
"ເປັນຄັ້ງ ທຳ ອິດໃນປະຫວັດສາດຂອງດາວເຄາະນີ້, ພວກເຮົາສາມາດອອກແບບສິ່ງມີຊີວິດໂດຍກົງ."	Lần đầu tiên trong lịch sử thế giới này, chúng ta có khả năng thiết kế động vật trực tiếp.
ມູນຄ່າເຄື່ອງໝາຍແຫ່ງຊາດຂອງຫວຽດນາມ ເພີ່ມຂຶ້ນຕື່ມອີກ 12 ຕື້ USD.	Giá trị thương hiệu quốc gia của Việt Nam đã tăng  thêm 12 tỷ USD.
"ຮ່າງຍຸດທະສາດຊັບສິນທາງປັນຍາຮອດປີ 2030 ໄດ້ວາງບັນດາຄາດໝາຍລະອຽດຫລາຍຢ່າງ, ໃນນັ້ນ ສູ້ຊົນຮອດປີ 2030, ດັດຊະນີກ່ຽວກັບຊັບສິນທາງປັນຍາໃນດັດຊະນີປະດິດຄິດສ້າງທົ່ວໂລກ (GII) ເພີ່ມຂຶ້ນໃນລະດັບປານກາງ 10%; ສ້າງຕັ້ງ ແລະ ພັດທະນາບັນດາຂະແໜງອຸດສາຫະກຳທີ່ນຳໃຊ້ຊັບສິນທາງປັນຍາ, ປະກອບສ່ວນເຂົ້າໃນ GDP; ສູ້ຊົນຮອດປີ 2025, ມີວິສາຫະກິດ ຫວຽດນາມ ຢ່າງໜ້ອຍສຸດ 25% ແລະ ຮອດປີ 2030 ໜ້ອຍສຸດແມ່ນ 50% ນຳເຄື່ອງມືຊັບສິນທາງປັນຍາເຂົ້າໃນຍຸດທະສາດການຜະລິດ, ດຳເນີນທຸລະກິດ."	Kế hoạch chiến lược sở hữu trí tuệ đến năm 2030 đặt ra một số mục tiêu cụ thể,  trong đó phấn đấu đến năm 2030,  Chỉ số Sở hữu trí tuệ trong Chỉ số phát triển mới toàn cầu (GII) tăng trung bình 10%; hình thành và phát triển các ngành công nghiệp sử dụng sở hữu trí tuệ, đóng góp quan trọng vào GDP; Phấn đấu đến năm  2025  đạt tối thiểu  25% và đến năm 2030, ít nhất 50% doanh nghiệp Việt Nam tích hợp công cụ sở hữu trí tuệ vào chiến lược sản xuất kinh doanh.
"ໃນຮ້ານວາງສະແດງ, ສະຖານທູດຫວຽດນາມ ໄດ້ແນະນຳເອກະສານ, ໜັງສືພິມ, ພາບຖ່າຍ ຫຼາຍສະບັບກ່ຽວກັບວັດທະນະທຳ, ປະຫວັດສາດ, ປະເທດຊາດ ແລະ ຊາວຫວຽດນາມ, ພິເສດແມ່ນຜົນງານໃນການພັດທະນາທີ່ພົ້ນເດັ່ນຂອງຫວຽດນາມ."	Tại địa điểm triển lãm,  Đại sứ quán Việt Nam đã giới thiệu nhiều tài liệu, sách, ảnh về văn hóa, lịch sử, đất nước, con người Việt Nam, đặc biệt là những thành tựu phát triển nổi bật của đất nước.
ດັດຊະນີພັດທະນາລັດຖະບານ ເອເລັກໂຕນິກຂອງ ຫວຽດນາມ ໄດ້ຮັບການຕີລາຄາຢູ່ໃນລະດັບສູງ	Việt Nam đạt điểm cao trong chỉ số phát triển chính phủ điện tử.
ມີຫລາຍເລື່ອງເລົ່າກ່ຽວກັບປະເພດທີ່ຕ່າງກັນຂອງຄວາມສະຫຼາດຂອງກາ.	Có rất nhiều câu chuyện về trí tuệ khác nhau của quạ.
"ມັນແມ່ນອິນເຕີເນັດ, ເຊິ່ງຊ່ວຍໃຫ້ທ່ານທ່ອງເວັບຢູ່ທຸກບ່ອນໃນໂລກ GPS, ເຊິ່ງຊ່ວຍໃຫ້ທ່ານຮູ້ຢ່າງແນ່ນອນວ່າທ່ານຢູ່ບ່ອນໃດໃນໂລກ; ໜ້າ ຈໍ ສຳ ພັດ, ເຊິ່ງເຮັດໃຫ້ງ່າຍຕໍ່ການໃຊ້ ສຳ ລັບທຸກຄົນ."	Đó là Internet, cho phép bạn truy cập Internet từ mọi nơi trên thế giới; GPS, cho phép bạn xác định vị trí của mình mọi lúc mọi nơi; và màn hình cảm ứng, giúp sử dụng với mọi người dễ dàng hơn.
"ທີ່ກອງປະຊຸມສຳມະນາ, ບັນດາຜູ້ແທນເຂົ້າຮ່ວມໄດ້ປະກອບຄຳເຫັນຫຼາຍຢ່າງເຂົ້າ ຮ່າງໂຄງການ“ຍຸດທະສາດແຫ່ງຊາດໃນການພັດທະນາຂະແໜງຊັບພະຍາກອນທຳມະຊາດ ແລະ ສິ່ງແວດລ້ອມ ຈົນຮອດປີ 2030, ວິໄສທັດ 2040”."	Tại hội thảo, các đại biểu đã cho một số ý kiến về kế hoạch dự án "Chiến lược quốc gia phát triển ngành tài nguyên và môi trường đến năm  2030,  tầm nhìn  đến năm 2040".
"ມະຫາວິທະຍາໄລນະຄອນໂຮ່ຈີມິນ ໄດ້ນຳໜ້າກ່ຽວກັບລາຍຮັບຈາກວິສາຫະກິດ, ໃນນັ້ນ ມະຫາວິທະນາໄລສັບພະວິຊາຮ່າໂນ້ຍມີດັດຊະນີກ່ຽວກັບການຄັດສະເໜີວິທະຍາສາດສູງສຸດ."	Đại học Quốc gia  Thành phố Hồ Chí Minh dẫn đầu về chỉ số thu nhập doanh nghiệp,  trong khi Đại học Bách khoa  Hà Nội có chỉ số tham chiếu khoa học cao nhất.
ຈຳ ນວນວຽກໃຫ້ຫ້ອງສະ ໝຸດ ໄດ້ເພີ່ມຂື້ນເປັນເວລາດົນນານຫລັງຈາກປີ 1957.	Số lượng việc làm cho nghề nghiệp của thư viện đã tăng đều đặn kể từ năm 1957.
"ໂດຍປະຕິບັດຕາມຄຳຊີ້ນຳຂອງ ທ່ານນາຍົກລັດຖະມົນຕີ , ສະໜາມບິນສາກົນ ເວິນໂດ່ນ ແມ່ນສະຖານທີ່ໜຶ່ງດຽວຢູ່ພາກເໜືອ ທີ່ຈະຈັດຕັ້ງການຕ້ອນຮັບປະຊາຊົນ ແລະ ແຂກທ່ອງທ່ຽວ ຫວຽດນາມ ມາຈາກເຂດເກີດເຊື້ອພະຍາດກັບຄືນມາປະເທດ."	Dưới sự chỉ đạo của Thủ tướng Chính phủ, Cảng hàng không quốc tế Vân Đồn đã trở thành nơi duy nhất ở miền Bắc đón công dân và du khách Việt Nam trở về từ vùng dịch.
ຫວຽດນາມ ເພີ່ມຂຶ້ນ27ຂັ້ນ ໃນຕາຕະລາງຈັດອັນດັບກຳລັງຄວາມສາ ມາດແກ້ງແຍ້ງ ອຸດສາຫະກຳທົ່ວໂລກ.	Việt Nam tăng 27 bậc trong bảng xếp hạng các cuộc thi công nghiệp toàn cầu.
ຄະນະຊາວໜຸ່ມທົ່ວກອງທັບ ແລະ ບໍລິສັດໃຫຍ່ເສດຖະກິດເຕັກນິກ ອຸດສາຫະກໍາປ້ອງກັນປະເທດ ໄດ້ມອບ“ ເຮືອນ 100 ດົ່ງ” ໃຫ້ແກ່ 2 ຄອບຄົວນະໂຍບາຍ.	Ban Thanh niên Quân đội và Công ty Kinh tế - Công nghệ Công nghiệp Quốc phòng đã trao "nhà 100 đồng" cho hai gia đình chính sách.
"ຊຸກຍູ້ການພັດທະນາຕະຫຼາດທຶນຮັບໃຊ້ບັນດາເປົ້າໝາຍພັດທະນາເສດຖະກິດ,ສັງຄົມ"	Khuyến khích phát triển thị trường chứng khoán hỗ trợ các mục tiêu phát triển kinh tế - xã hội.
"ສູນສື່ມວນຊົນສາກົນມີອຸປະກອນວັດຖຸທັນສະໄໝ, ອິນເຕີເນັດໄວ, ອາຫານແຊບ ທີ່ເຂັ້ມຂຸ້ນໄປດ້ວຍສີສັນ ຫວຽດນາມ."	Trung tâm In ấn Quốc tế có máy móc hiện đại, internet tốc độ cao,  phục vụ các món ăn ngon, đa dạng và Việt Nam.
"World Mathematical Olympiad ແມ່ນການເສັງຄະນິດສາດສາກົນທີ່ສະຫງວນໃຫ້ນັກຮຽນມີອາຍຸແຕ່ 8 -13 ປີ, ໄດ້ຮັບການຈັດຕັ້ງປະຈຳປີ."	Olympic Toán học thế giới là một cuộc thi quốc tế dành cho học sinh từ 8 đến 13  tuổi và được tổ chức hàng năm.
"ສະ ໜັບ ສະ ໜູນ ດ້ານວິສະວະ ກຳ, ຄະນິດສາດ, ແລະວິທະຍາສາດ - ການສຶກສາໂດຍທົ່ວໄປ - ສູງຂື້ນ."	Hỗ trợ cho kỹ thuật, toán học và khoa học - giáo dục nói chung - đã tăng lên.
ຂ້ອຍໄດ້ເຫັນ TED Fellows ໃນມື້ ທຳ ອິດຂອງຂ້ອຍທີ່ນີ້.	Tôi đã gặp TED Fellows vào ngày đầu tiên ở đây.
"“ລັດຖະບານ ຫວຽດນາມ ແລະ ແດນມາກ ຮ່ວມມືກ່ຽວກັບພະລັງງານແຕ່ປີ 2008 ມາຮອດປະຈຸບັນ, ດ້ວຍແຫຼ່ງເງິນລົງທຶນຂອງລັດຖະບານ ແດນມາກ ສະຫງວນໃຫ້ ຫວຽດນາມ ປະມານ 45 ລ້ານ USD ເພື່ອຮັບໃຊ້ການພັດທະນາ, ການຜັນຂະຫຍາຍບັນດາໂຄງການລະອຽດມຸ່ງໄປເຖິງການນຳໃຊ້ພະລັງງານຢ່າງມີປະສິດທິຜົນຍືນຍົງ."	Chính phủ Việt Nam và Đan Mạch đã hợp tác trong lĩnh vực năng lượng từ năm 2008, với việc chính phủ Đan Mạch đầu tư khoảng 45 triệu USD vào Việt Nam để phát triển và thực hiện các dự án cụ thể về hiệu quả và bền vững năng lượng.
ການເຄື່ອນໄຫວມີຄວາມໝາຍຫຼາຍຢ່າງເພື່ອຄົນທຸກຍາກໃນໂອກາດບຸນປີໃໝ່ປີຈໍ 2018	Một số hoạt động ý nghĩa đã được tổ chức để giúp đỡ người nghèo trong năm mới  2018.
ຫວຽດນາມ ສະໜັບສະໜູນບັນດາວິສາຫະກິດ ຂອງ ແບນຊິກ ເພີ່ມທະວີການລົງທຶນເຂົ້າ ຫວຽດນາມ; ສົ່ງເສີມບັນດາວິສາຫະກິດ ອີຢູ ແລະ ແບນຊິກ ຊຸກຍູ້ວິວັດທະນາການລົງນາມ ແລະ ໃຫ້ສັດຕະຍາບັນສັນຍາການຄ້າເສລີ ຫວຽດນາມ - ສະຫະພາບເອີລົບ ເພື່ອຜົນປະໂຫຍດຂອງທັງສອງຝ່າຍ.	Việt Nam khuyến khích các doanh nghiệp Bỉ mở rộng đầu tư vào Việt Nam và khuyến khích các doanh nghiệp châu Âu, trong đó có Bỉ, đẩy nhanh quá trình ký kết và phê chuẩn Hiệp định thương mại tự do Việt Nam - EU vì lợi ích của cả hai bên.
"ພວກເຂົາໃຊ້ເງິນເປັນ ຈຳ ນວນຫຼາຍເພື່ອຊື້ຫຸ້ນຄືນຂອງພວກເຂົາ, ເຊິ່ງມັນບໍ່ຄ່ອຍຈະແຈ້ງປານໃດ."	Họ chi rất nhiều tiền để mua tài sản của riêng mình, điều này không rõ ràng.
"ວາງສະແດງວັດຖຸພັນ,ຮູບພາບ 200 ຢ່າງກ່ຽວກັບ “ວັນນະຄະດີ - ສິລະປະໃນການຕໍ່ຕ້ານ” (1945 – 1954)"	Triển lãm  200 hiện vật, hình ảnh liên quan đến chủ đề "Văn học nghệ thuật trong kháng chiến (1945-1954)".
"ເຖິງວ່າຈຳນວນແຂກເຂົ້າສຸນສານອາໄລຫາຫລາຍກ່ວາເມື່ອທຽບໃສ່ວັນທຳມະດາກໍ່ຕາມ, ແຕ່ຄະນະຄຸ້ມຄອງສຸສານປະທານ ໂຮ່ຈີມິນ ໄດ້ເປັນເຈົ້າການສົມທົບຢ່າງແໜ້ນແຟ້ນລະຫວ່າງບັນດາກຳລັງໃນກຸ່ມປູຊະນີຍະສະຖານປະຫວັດສາດ - ວັດທະນະທຳ ບາດີງ ແລະ ບັນດາອົງການທີ່ກ່ຽວຂ້ອງຂອງນະຄອນ ຮ່າໂນ້ຍ, ປະຕິບັດວຽກງານກະກຽມເປັນຢ່າງດີ; ຈັດຕັ້ງການຕ້ອນຮັບ, ຮັບໃຊ້ພໍ່ແມ່ປະຊາຊົນ, ແຂກທ່ອງທ່ຽວສາກົນເຂົ້າສຸສານອາໄລຫາ ປະທານ ໂຮ່ຈີມິນ ຢ່າງລອບຄອບຖີ່ຖ້ວນ, ປອດໄພ ແລະ ຢ້ຽມຊົມບັນດາປູຊະນີຍະສະຖານ, ກິດຈະກຳວັດທະນະທຳໃນຂົງເຂດ."	Mặc dù lượng khách tham quan nhiều hơn bình thường nhưng  Ban Chấp hành Lăng Chủ tịch Hồ  Chí Minh đã và đang tích cực phối hợp với quân đội trong Tập đoàn Tư liệu  Lịch sử - Văn hóa Ba Đình và chính quyền thủ đô để thực hiện công tác chuẩn bị tốt; Tổ chức tiếp khách, phục vụ thận trọng, an toàn cho đồng bào và khách nước ngoài sang thăm Chủ tịch Hồ Chí Minh, thăm văn hóa, công tác khu vực.
ຂ້າພະເຈົ້າໄດ້ນັ່ງຢູ່ທີ່ນັ້ນສົງໄສວ່ານະຮົກຂ້ອຍຈະຫລິ້ນແບບບໍ່ມີຄວາມຮູ້ສຶກແນວໃດ.	Tôi ngồi đó tự hỏi tại sao tôi lại tạo ra một tình huống kỳ lạ như vậy cho chính mình.
"ຂ້ອຍເວົ້າວ່າໂງ່, ເຈົ້າຮູ້, ບາງທີພວກເຮົາຄວນຝຶກອົບຮົມໃຫ້ພວກເຂົາເຮັດບາງສິ່ງທີ່ເປັນປະໂຫຍດ."	Tôi cảm thấy điều đó thật ngu ngốc, và có lẽ chúng ta nên dạy chúng làm điều gì đó hiệu quả hơn.
"ທະນາຄານພັດທະນາປະເທດບຣາຊິນ, ເຊິ່ງ ກຳ ລັງສະ ໜອງ ເງິນ ຈຳ ນວນມະຫາສານ ສຳ ລັບເຕັກໂນໂລຢີສີຂຽວ, ຍ້ອນວ່າມັນໄດ້ປະກາດໂຄງການໃນອະນາຄົດເຖິງ 56 ພັນລ້ານໂດລາ ສຳ ລັບຂະ ແໜງ ນີ້, ຍັງ ກຳ ລັງຖືຫຸ້ນໃນການລົງທືນຂ້າງເທິງ,"	Ngân hàng Phát triển Brazil, vốn đang đầu tư mạnh vào công nghệ xanh, vừa công bố dự án  trị giá 56 tỷ USD cho lĩnh vực tương lai, đồng thời có một phần các khoản đầu tư liên quan.
